kind,task,machine_selectable,process_time,cost_count
6,2,"(4, 6, 8, 2, 5, 9, 0, 7, 3, 1)","(351, 118, 129, 344, 389, 279, 232, 211, 307, 281)","[[(6, 1)], 1]"
6,3,"(6, 7, 9, 3, 8, 1, 2)","(261, 344, 223, 269, 225, 126, 392)","[[(6, 2)], 1]"
7,0,"(6, 3, 8, 4, 2, 5, 9, 7, 0, 1)","(75, 362, 283, 276, 138, 369, 74, 174, 307, 221)","[[], 1]"
7,1,"(7, 1, 6, 9, 0)","(72, 115, 60, 40, 266)","[[(7, 0)], 1]"
7,2,"(9, 6, 2, 4, 1, 5, 7, 0, 3, 8)","(190, 241, 213, 135, 74, 234, 180, 83, 252, 379)","[[(7, 1)], 1]"
7,3,"(6, 0)","(390, 112)","[[(7, 2)], 1]"
8,0,"(7, 4, 5, 0)","(304, 138, 71, 320)","[[], 1]"
8,1,"(2, 9, 3, 4)","(115, 263, 224, 236)","[[(8, 0)], 1]"
8,2,"(0, 7, 8, 3, 6, 4, 2, 5, 9, 1)","(154, 325, 228, 79, 253, 355, 153, 109, 305, 360)","[[(8, 1)], 1]"
8,3,"(2, 3)","(175, 68)","[[(8, 2)], 1]"
8,4,"(3, 0, 7, 1, 2)","(85, 334, 49, 117, 184)","[[(8, 3)], 1]"
9,0,"(9, 2, 7, 8, 4, 0, 5)","(376, 359, 69, 391, 259, 247, 178)","[[], 1]"
9,1,"(4,)","(154,)","[[(9, 0)], 1]"
9,2,"(4, 5, 3)","(69, 226, 281)","[[(9, 1)], 1]"
10,0,"(8, 0, 4, 9, 7, 3, 6, 5)","(80, 270, 58, 282, 83, 125, 234, 329)","[[], 1]"
10,1,"(5,)","(383,)","[[(10, 0)], 1]"
10,2,"(3, 4, 8, 2, 6, 9, 5, 7, 1, 0)","(100, 231, 383, 384, 394, 252, 385, 339, 200, 354)","[[(10, 1)], 1]"
10,3,"(1, 2, 0, 7, 4, 3, 8)","(180, 260, 342, 169, 297, 293, 295)","[[(10, 2)], 1]"
11,0,"(12, 11, 10, 14, 13)","(221, 315, 199, 56, 387)","[[(6, 3), (5, 4)], [2, 3]]"
11,1,"(11, 12, 13, 14)","(62, 398, 400, 65)","[[(11, 0), (8, 4)], [2, 2]]"
12,0,"(11,)","(198,)","[[(1, 3), (10, 3)], [2, 3]]"
12,1,"(12, 13, 10, 11)","(383, 381, 89, 361)","[[(12, 0), (7, 3)], [2, 3]]"
13,0,"(10, 14)","(154, 279)","[[(3, 3), (0, 4)], [3, 2]]"
13,1,"(13, 10, 12, 14, 11)","(206, 224, 266, 355, 389)","[[(13, 0), (2, 3)], [2, 2]]"
14,0,"(12, 11, 14, 10)","(303, 161, 237, 213)","[[(9, 2), (4, 4)], [2, 3]]"
14,1,"(11, 13)","(357, 115)","[[(14, 0), (3, 3)], [1, 1]]"
