kind,task,machine_selectable,process_time,cost_count
11,4,"(4, 9, 2, 5, 3)","(111, 189, 190, 265, 146)","[[(11, 3)], 1]"
12,0,"(14, 12, 11, 10)","(351, 210, 251, 214)","[[(3, 3), (7, 4)], [1, 2]]"
12,1,"(14, 10, 11)","(62, 130, 92)","[[(12, 0), (0, 4)], [1, 2]]"
13,0,"(10, 11, 13)","(128, 44, 115)","[[(5, 4), (10, 3)], [2, 3]]"
13,1,"(11,)","(343,)","[[(13, 0), (2, 4)], [3, 1]]"
13,2,"(12, 10, 14, 11, 13)","(240, 104, 111, 225, 399)","[[(13, 1), (4, 3)], [3, 1]]"
14,0,"(10, 11, 13, 14, 12)","(391, 229, 360, 94, 260)","[[(1, 2), (11, 4)], [1, 1]]"
14,1,"(10, 11)","(166, 148)","[[(14, 0), (8, 3)], [2, 2]]"
15,0,"(11, 12, 13)","(103, 321, 398)","[[(9, 3), (6, 2)], [3, 1]]"
15,1,"(14, 10, 11, 13)","(135, 118, 131, 125)","[[(11, 4), (1, 2)], [2, 2]]"
15,2,"(10,)","(216,)","[[(15, 0), (15, 1)], [3, 3]]"
