kind,task,machine_selectable,process_time,cost_count
9,3,"(8, 3, 0)","(149, 73, 43)","[[(9, 2)], 1]"
10,0,"(9, 7, 8, 2, 4, 5, 0, 6, 1, 3)","(227, 192, 72, 385, 141, 130, 152, 52, 275, 111)","[[], 1]"
10,1,"(5, 8)","(105, 138)","[[(10, 0)], 1]"
10,2,"(0, 7, 3)","(115, 355, 138)","[[(10, 1)], 1]"
11,0,"(10, 11, 14, 12, 13)","(214, 384, 186, 321, 270)","[[(1, 3), (8, 3)], [1, 3]]"
11,1,"(14, 13, 12, 10)","(217, 362, 181, 338)","[[(11, 0), (9, 3)], [2, 1]]"
12,0,"(10,)","(120,)","[[(10, 2), (2, 4)], [2, 1]]"
12,1,"(12, 14, 10)","(133, 165, 359)","[[(0, 4), (7, 3)], [1, 1]]"
12,2,"(13, 10, 14, 12, 11)","(351, 392, 196, 78, 171)","[[(12, 0), (12, 1)], [3, 1]]"
13,0,"(10, 14, 12)","(67, 396, 81)","[[(5, 4), (3, 2)], [2, 2]]"
13,1,"(14, 13)","(66, 226)","[[(4, 4), (6, 3)], [3, 1]]"
13,2,"(14, 11)","(336, 106)","[[(13, 0), (13, 1)], [3, 1]]"
14,0,"(13, 14, 11, 12, 10)","(268, 372, 334, 114, 188)","[[(6, 3), (8, 3)], [2, 3]]"
14,1,"(14, 13, 11, 12)","(314, 149, 156, 340)","[[(14, 0), (9, 3)], [3, 1]]"
14,2,"(10, 12, 11)","(380, 269, 231)","[[(14, 1), (5, 4)], [1, 1]]"
