kind,task,machine_selectable,process_time,cost_count
11,4,"(2, 3, 1, 5, 4, 8, 9, 7, 0, 6)","(377, 325, 123, 118, 283, 273, 246, 274, 369, 89)","[[(11, 3)], 1]"
12,0,"(13, 10, 11, 12)","(304, 292, 341, 188)","[[(8, 3), (10, 3)], [2, 3]]"
12,1,"(11, 12, 14, 10)","(119, 69, 304, 308)","[[(12, 0), (4, 4)], [1, 1]]"
13,0,"(10, 13, 11, 12, 14)","(42, 266, 237, 357, 365)","[[(6, 3), (9, 4)], [1, 2]]"
13,1,"(11, 13, 10, 14, 12)","(144, 246, 114, 396, 353)","[[(13, 0), (3, 3)], [1, 3]]"
13,2,"(14, 12, 13)","(329, 393, 47)","[[(13, 1), (0, 2)], [3, 2]]"
14,0,"(12, 10)","(338, 153)","[[(11, 4), (7, 2)], [2, 1]]"
14,1,"(13, 14, 10)","(228, 161, 96)","[[(14, 0), (5, 3)], [2, 2]]"
15,0,"(11, 10, 13, 14)","(346, 225, 116, 236)","[[(1, 2), (2, 4)], [2, 3]]"
15,1,"(12, 10, 14)","(291, 337, 42)","[[(3, 3), (4, 4)], [3, 2]]"
15,2,"(10,)","(333,)","[[(15, 0), (15, 1)], [1, 3]]"
16,0,"(14,)","(273,)","[[(11, 4), (4, 4)], [1, 2]]"
16,1,"(12, 11, 13, 10, 14)","(156, 128, 315, 145, 142)","[[(9, 4), (2, 4)], [2, 1]]"
16,2,"(13,)","(366,)","[[(16, 0), (16, 1)], [1, 3]]"
17,0,"(10, 12, 13, 14, 11)","(337, 109, 131, 67, 304)","[[(10, 3), (5, 3)], [1, 1]]"
17,1,"(11, 14, 13, 12, 10)","(114, 305, 315, 132, 40)","[[(17, 0), (0, 2)], [1, 3]]"
