kind,task,machine_selectable,process_time,cost_count
5,2,"(1, 2)","(19, 12)","[[(5, 1)], [1]]"
5,3,"(2, 1)","(14, 16)","[[(5, 2)], [1]]"
5,4,"(1, 2)","(16, 20)","[[(5, 3)], [1]]"
5,5,"(3,)","(11,)","[[(5, 4)], [1]]"
6,0,"(3, 1, 2)","(10, 19, 13)","[[], [1]]"
6,1,"(0, 2, 1, 3)","(15, 12, 13, 13)","[[(6, 0)], [1]]"
6,2,"(2,)","(20,)","[[(6, 1)], [1]]"
6,3,"(0,)","(17,)","[[(6, 2)], [1]]"
6,4,"(2, 3)","(16, 20)","[[(6, 3)], [1]]"
6,5,"(2, 3)","(19, 16)","[[(6, 4)], [1]]"
7,0,"(1,)","(10,)","[[], [1]]"
7,1,"(3,)","(16,)","[[(7, 0)], [1]]"
7,2,"(2, 3, 0, 1)","(19, 16, 20, 10)","[[(7, 1)], [1]]"
7,3,"(0, 2, 3)","(12, 17, 11)","[[(7, 2)], [1]]"
7,4,"(1, 3)","(14, 12)","[[(7, 3)], [1]]"
7,5,"(0, 1)","(17, 18)","[[(7, 4)], [1]]"
8,0,"(0, 1, 2, 3)","(17, 18, 19, 10)","[[], [1]]"
8,1,"(0, 1, 3)","(10, 17, 15)","[[(8, 0)], [1]]"
8,2,"(1, 0, 3, 2)","(14, 17, 10, 16)","[[(8, 1)], [1]]"
8,3,"(2, 1, 0, 3)","(13, 18, 20, 11)","[[(8, 2)], [1]]"
8,4,"(0, 1, 3)","(12, 10, 16)","[[(8, 3)], [1]]"
8,5,"(3,)","(20,)","[[(8, 4)], [1]]"
9,0,"(0, 1, 3)","(16, 15, 10)","[[], [1]]"
9,1,"(3,)","(13,)","[[(9, 0)], [1]]"
9,2,"(1, 2, 3, 0)","(10, 10, 20, 18)","[[(9, 1)], [1]]"
9,3,"(3, 1, 2)","(19, 11, 13)","[[(9, 2)], [1]]"
9,4,"(0, 1)","(11, 19)","[[(9, 3)], [1]]"
9,5,"(1, 2)","(20, 13)","[[(9, 4)], [1]]"
10,0,"(3,)","(14,)","[[], [1]]"
10,1,"(0, 3, 2)","(14, 12, 11)","[[(10, 0)], [1]]"
10,2,"(0,)","(17,)","[[(10, 1)], [1]]"
10,3,"(3, 2)","(16, 20)","[[(10, 2)], [1]]"
10,4,"(1, 2, 3)","(11, 10, 14)","[[(10, 3)], [1]]"
10,5,"(1, 3)","(17, 11)","[[(10, 4)], [1]]"
11,0,"(2, 1, 0)","(14, 12, 20)","[[], [1]]"
11,1,"(1, 3, 0, 2)","(18, 20, 20, 15)","[[(11, 0)], [1]]"
11,2,"(0,)","(11,)","[[(11, 1)], [1]]"
11,3,"(3,)","(12,)","[[(11, 2)], [1]]"
11,4,"(0, 2)","(14, 10)","[[(11, 3)], [1]]"
11,5,"(1, 2)","(10, 10)","[[(11, 4)], [1]]"
12,0,"(4,)","(13,)","[[(6, 5), (0, 5)], [2, 2]]"
12,1,"(4,)","(20,)","[[(4, 5), (8, 5)], [1, 1]]"
12,2,"(5,)","(14,)","[[(12, 0), (12, 1)], [1, 2]]"
13,0,"(4,)","(18,)","[[(10, 5), (11, 5)], [2, 2]]"
13,1,"(5,)","(15,)","[[(3, 5), (5, 5)], [2, 1]]"
13,2,"(5,)","(15,)","[[(13, 0), (13, 1)], [2, 1]]"
14,0,"(4, 5)","(19, 10)","[[(2, 5), (9, 5)], [1, 2]]"
14,1,"(5,)","(19,)","[[(14, 0), (1, 5)], [1, 1]]"
14,2,"(4, 5)","(20, 17)","[[(14, 1), (7, 5)], [2, 2]]"
15,0,"(4,)","(20,)","[[(1, 5), (9, 5)], [2, 1]]"
15,1,"(4,)","(17,)","[[(15, 0), (4, 5)], [2, 1]]"
16,0,"(4,)","(20,)","[[(4, 5), (1, 5)], [2, 1]]"
16,1,"(5,)","(16,)","[[(16, 0), (10, 5)], [1, 2]]"
17,0,"(5,)","(15,)","[[(7, 5), (8, 5)], [1, 1]]"
17,1,"(5,)","(18,)","[[(1, 5), (5, 5)], [2, 2]]"
17,2,"(4, 5)","(12, 13)","[[(17, 0), (17, 1)], [2, 2]]"
